reservation_id,adults,children,start_date,end_date,total_cost,room_id,guest_id
1,1,0,"2023-02-02","2023-02-04",299.98,308,1
2,2,1,"2023-02-05","2023-02-10",999.95,203,2
3,2,0,"2023-02-22","2023-02-24",349.98,305,3
4,2,2,"2023-03-06","2023-03-07",199.99,201,4
5,1,1,"2023-03-17","2023-03-20",524.97,307,12
6,3,0,"2023-03-18","2023-03-23",924.95,302,5
7,2,2,"2023-03-29","2023-03-31",349.98,202,6
8,2,0,"2023-03-31","2023-04-05",874.95,304,7
9,1,0,"2023-04-09","2023-04-13",799.96,301,8
10,1,1,"2023-04-23","2023-04-24",174.99,207,9
11,2,4,"2023-05-30","2023-06-02",1,199.97,401,10
12,2,0,"2023-06-10","2023-06-14",599.96,206,11
13,1,0,"2023-06-10","2023-06-14",599.96,208,11
14,3,0,"2023-06-17","2023-06-18",184.99,304,5
15,2,0,"2023-06-28","2023-07-02",699.96,205,12
16,3,1,"2023-07-13","2023-07-14",184.99,204,8
17,4,2,"2023-07-18","2023-07-21",1,259.97,401,9
18,2,1,"2023-07-28","2023-07-29",199.99,303,2
19,1,0,"2023-08-30","2023-09-01",349.98,305,2
20,2,0,"2023-09-16","2023-09-17",149.99,208,1
21,2,2,"2023-09-13","2023-09-15",399.98,203,4
22,2,2,"2023-11-22","2023-11-25",1,199.97,401,3
23,2,0,"2023-11-22","2023-11-25",449.97,206,1
24,2,2,"2023-11-22","2023-11-25",599.97,301,1
25,2,0,"2023-12-24","2023-12-28",699.96,302,10
